Gender,Course,Study Year,CGPA,Study Days per Week,Study Hours per Day,Study Hours Before Exam,Study Method,Study Schedule,Follow Schedule Frequency,Procrastination Level,Deadline Management,Social Media During Study,Part-Time Job,Work Hours per Week,Study Place,Family Support,Sleep Hours,Stress Level (Beginning of Semester),Stress Level (End of Semester)
Female,Bachelor of Science,2,4.0,6,3.5,7.0,Summarizing/making notes,Yes,Sometimes,4,Good,Sometimes,No,0.0,"Library, Room",Very Supportive,6.5,2,4
Female,Bachelor of Medical Imaging,2,3.5,5,3.5,7.0,Summarizing/making notes,Yes,Sometimes,3,Average,Sometimes,No,0.0,"Room, Campus Study Area",Very Supportive,6.5,3,5
Female,Bachelor of Computer Science,2,3.5,3,1.5,7.0,Doing practice questions,No,,5,Average,Always,No,0.0,Room,Very Supportive,6.5,1,4
Female,Bachelor Of Home Science With Education,2,3.5,4,1.5,3.5,Summarizing/making notes,No,,2,Good,Always,Yes,2.5,Room,Very Supportive,8.5,2,4
Female,Bachelor of Mass Communications ,2,3.5,5,3.5,5.5,Doing practice questions,No,,4,Average,Always,No,0.0,Room,Very Supportive,6.5,2,5
Female,Bachelor of Chemical Engineering,2,3.5,4,3.5,7.0,Summarizing/making notes,No,,4,Good,Always,Yes,2.5,"Library, Room, Campus Study Area",Very Supportive,8.5,3,5
Female,Bachelor of Business ,2,3.5,2,3.5,5.5,Summarizing/making notes,No,,5,Average,Always,No,0.0,"Library, Room",Very Supportive,6.5,5,5
Female,Bachelor of Statistic ,2,3.5,5,5.5,7.0,Doing practice questions,Yes,Sometimes,4,Average,Always,No,0.0,Room,Very Supportive,4.5,4,5
Female,Diploma in Early Childhood Education ,2,2.5,3,1.5,3.5,Summarizing/making notes,No,,3,Average,Sometimes,No,0.0,"Library, Room, Cafe, Campus Study Area",Neutral,6.5,4,4
Female,Diploma in Science,2,3.5,5,5.5,7.0,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,0.0,"Library, Room",Very Supportive,6.5,3,4
Male,Bachelor of Computer Science,2,3.5,3,0.5,3.5,Summarizing/making notes,No,,3,Average,Always,Yes,15.5,"Room, Cafe",Neutral,6.5,2,4
Female,Bachelor of Software Engineering ,1,3.5,5,1.5,3.5,Summarizing/making notes,No,,3,Average,Sometimes,No,0.0,Room,Very Supportive,6.5,2,4
Female,Bachelor of Biodiversity Management ,1,3.5,4,3.5,7.0,Doing practice questions,Yes,Sometimes,3,Good,Sometimes,No,0.0,"Room, Cafe",Very Supportive,6.5,2,5
Female,Bachelor of Computer Science ,3,3.5,3,3.5,7.0,Summarizing/making notes,No,,3,Average,Sometimes,No,0.0,Room,Very Supportive,4.5,5,5
Female,Bachelor of Business,5,3.5,4,3.5,7.0,Summarizing/making notes,Yes,Sometimes,5,Average,Sometimes,Yes,7.5,"Library, Cafe, Campus Study Area",Very Supportive,6.5,1,3
Female,Bachelor of Game Development,3,3.5,3,1.5,0.5,Watching recorded lectures/videos,No,,4,Average,Always,No,0.0,Room,Very Supportive,6.5,5,5
Female,Bachelor of Communications ,1,2.5,3,3.5,5.5,Summarizing/making notes,No,,4,Average,Sometimes,No,0.0,"Library, Room",Very Supportive,3.0,3,5
Female,Bachelor of Digital Media Production ,1,3.5,5,5.5,3.5,Doing practice questions,Yes,Always,2,Good,Sometimes,No,0.0,Room,Very Supportive,4.5,3,1
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,6,5.5,7.0,Reading lecture notes,No,,3,Average,Sometimes,No,0.0,"Library, Room",Very Supportive,4.5,2,4
Female,Bachelor of Arabic Studies and Islamic Civilization,1,3.5,7,5.5,7.0,Summarizing/making notes,Yes,Sometimes,2,Good,Sometimes,No,0.0,"Room, usually at library during study week only",Very Supportive,6.5,2,4
Female,Bachelor of Communications,3,3.5,3,3.5,5.5,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,0.0,Room,Very Supportive,4.5,3,5
Female,Bachelor of Arts,1,3.5,7,5.5,5.5,Summarizing/making notes,No,,2,Good,Sometimes,No,0.0,"Room, Cafe",Very Supportive,6.5,1,5
Female,Bachelor of Business ,2,3.5,2,1.5,1.5,Ai generated quiz game,No,,4,Average,Sometimes,Yes,7.5,"Library, Room",Neutral,4.5,4,4
Female,Bachelor of Accounting,1,1.0,1,1.5,0.5,Doing practice questions,No,,5,Average,Never,No,0.0,"Library, Room",Very Not Supportive,4.5,3,3
Female,Bachelor of Digital Media Production ,1,3.5,1,1.5,7.0,Summarizing/making notes,No,,5,Average,Sometimes,No,0.0,At home ,Very Supportive,4.5,2,5
